series	booktitle	year	title	abstract	authors	pdf1page	pdfarticle
Revue des Nouvelles Technologies de l'Information	EGC	2018	Big Data for understanding human dynamics: the power of networks		Fosca Giannotti	http://editions-rnti.fr/render_pdf.php?p1&p=1002363	http://editions-rnti.fr/render_pdf.php?p=1002363
Revue des Nouvelles Technologies de l'Information	EGC	2018	Cartes Auto-Organisatrices Incrémentales appliquées au Clustering Collaboratif	Le Clustering Collaboratif (CC) vise à faire ressortir les structurescommunes présentes dans plusieurs vues indépendantes en se basant sur unepremière étape de clustering locale, effectuée dans notre cas à l'aide de CartesAuto-Organisatrices (SOM pour Self Organizing Maps en anglais). Pour faireface à la quantité toujours croissante de données disponibles, l'utilisation de méthodesde clustering incrémentales est devenue nécessaire. Ce papier présente unalgorithme de SOM incrémentales compatibles avec les contraintes du CC. Lesexpérimentations conduites sur plusieurs jeux de données démontrent la validitéde cette méthode et présentent l'influence de la taille du batch utilisé lors del'apprentissage.	Denis Maurel, Jérémie Sublime, Sylvain Lefebvre	http://editions-rnti.fr/render_pdf.php?p1&p=1002418	http://editions-rnti.fr/render_pdf.php?p=1002418
Revue des Nouvelles Technologies de l'Information	EGC	2018	Catégorisation d'articles scientifiques basée sur les relations sémantiques des mots-clés		Bastien Latard, Jonathan Weber, Germain Forestier, Michel Hassenforder	http://editions-rnti.fr/render_pdf.php?p1&p=1002406	http://editions-rnti.fr/render_pdf.php?p=1002406
Revue des Nouvelles Technologies de l'Information	EGC	2018	Classification de Données Complexes par Globalisation de Mesures de Similarité via les Moyennes Quasi-Arithmétiques	La plupart des méthodes de classification sont conçues pour des types particuliers de données: données numériques, textuelles, catégoriques, fonctionnelles, probabilistes ou encore de type graphes. Cependant, les données générées dans notre quotidien sont en général composées de données de types mixtes. Par exemple, si nous considérons la prévention cardiaque dans le domaine de la santé, les applications vont combiner des données issues de capteurs avec d'autres données telles que l'âge, le niveau d'effort, la fréquence cardiaque maximale, des histogrammes de fréquences cardiaques moyennes lors de précédents efforts, etc. Ceci nous amène à la problématique de construire des classes en tenant compte de ces différentes données, et de définir une mesure de similarité à partir des similarités de paires d'objets sur les différents types de variables. Dans cet article nous proposons une méthode de classification basée sur la fusion des matrices de similarité à l'aide des moyennes quasi-arithmétiques qui permet de choisir les différentes “dimensions” des données à considérer, et ce quel que soit le type de données, pour autant qu'une mesure, de similarité ou de dissimilarité existe pour chacun des types de données, ce qui est très souvent le cas.	Étienne-Cuvelier, Marie-Aude-Aufaure	http://editions-rnti.fr/render_pdf.php?p1&p=1002368	http://editions-rnti.fr/render_pdf.php?p=1002368
Revue des Nouvelles Technologies de l'Information	EGC	2018	Community structure in complex networks		Santo Fortunato	http://editions-rnti.fr/render_pdf.php?p1&p=1002362	http://editions-rnti.fr/render_pdf.php?p=1002362
Revue des Nouvelles Technologies de l'Information	EGC	2018	Comparaison de mesures de centralité basées sur les plus courts chemins dans les réseaux dynamiques	Définir l'importance des noeuds dans les réseaux statiques est unequestion de recherche très étudiée depuis de nombreuses années. Dernièrement,des adaptations des métriques classiques ont été proposées pour les réseaux dynamiques.Ces méthodes reposent sur des approches très différentes dans leurfaçon d'évaluer l'importance des noeuds à un instant donné. Il est donc nécessairede pouvoir les évaluer et les comparer. Dans cet article, nous comparonstrois approches existes pour mieux comprendre ce qui les différencie. Nous montronsque la nature des jeux de données influe grandement sur le comportementdes méthodes, et que pour certains d'entre eux, la notion d'importance n'est pastoujours pertinente.	Marwan Ghanem, Clémence Magnien, Fabien Tarissan	http://editions-rnti.fr/render_pdf.php?p1&p=1002416	http://editions-rnti.fr/render_pdf.php?p=1002416
Revue des Nouvelles Technologies de l'Information	EGC	2018	Complémentarités de représentations vectorielles pour la similarité sémantique	La tâche de similarité sémantique textuelle consiste à exprimer automatiquementun nombre reflétant la similarité sémantique de deux fragmentsde texte. Chaque année depuis 2012, les campagnes de SemEval déroulent cettetâche de similarité sémantique textuelle. Cet article présente une méthode associantdifférentes représentations vectorielles de phrases dans l'objectif d'améliorerles résultats obtenus en similarité sémantique. Notre hypothèse est que différentesreprésentations permettraient de représenter différents aspects sémantiques,et par extension, d'améliorer les similarités calculées, la principale difficultéétant de sélectionner les représentations les plus complémentaires pourcette tâche. Notre système se base sur le système vainqueur de la campagne de2015 ainsi que sur notre méthode de sélection par complémentarité. Les résultatsobtenus viennent confirmer l'intérêt de cette méthode lorsqu'ils sont comparésaux résultats de la campagne de 2016.	Julien Hay, Tim Van de Cruys, Philippe Muller, Bich-Liên Doan, Fabrice Popineau, Lyes Benamsili	http://editions-rnti.fr/render_pdf.php?p1&p=1002378	http://editions-rnti.fr/render_pdf.php?p=1002378
Revue des Nouvelles Technologies de l'Information	EGC	2018	Contextualisation de Singularités en Temps-Réel par Extraction de Connaissances du Web des Données	L'émergence de l'IoT et du traitement en temps-réel oblige les entreprises à considérer la détection d'anomalies comme un élément clé de leur activité. Afin de garantir une haute précision dans le processus de détection, des métadonnées fournissant un contexte spatio-temporel sur les mesures des capteurs sont nécessaires. Dans cet article, nous présentons un système générique qui aide à capturer, analyser, qualifier et stocker les informations contextuelles d'un domaine d'application donné. L'approche proposée est basée sur des méthodes sémantiques qui exploitent des ontologies pour évaluer la pertinence de l'information contextuelle. Après une description des composants principaux de l'architecture, la performance et la pertinence du système sont démontrées par une évaluation sur des ensembles de données du monde réel.	Badre Belabbess, Jérémy Lhez, Musab Bairat, Olivier Curé	http://editions-rnti.fr/render_pdf.php?p1&p=1002369	http://editions-rnti.fr/render_pdf.php?p=1002369
Revue des Nouvelles Technologies de l'Information	EGC	2018	Contraintes prescriptives compatibles avec OWL2-ER pour évaluer la complétude d'ontologies	L'article définit les contraintes prescriptives comme des règles permettant aux moteurs d'inférence de vérifier que certains objets formels sont réellement utilisés – pas seulement inférés – ou non, dans certaines conditions. Il montre que ces contraintes nécessitent de ne pas exploiter de mécanisme d'héritage (ou autres mécanismes ajoutant des relations à des objets) durant les tests des conclusions des règles. Il donne une méthode générale pour effectuer cela et des commandes SPARQL pour implémenter cette méthode lorsque les règles sont représentées via des relations sous-classe-de entre conditions et conclusions. L'article illustre ces commandes avec la vérification de patrons de conception d'ontologies. Plus généralement, l'approche peut être utilisée pour vérifier la complétude d'une ontologie, ou représenter dans une ontologie (plutôt que par des requêtes ou des procédures ad hoc) des contraintes permettant de calculer un degré de complétude d'ontologie. L'approche peut ainsi aider l'élicitation, la modélisation ou la validation de connaissances.	Philippe Martin, Jun Jo	http://editions-rnti.fr/render_pdf.php?p1&p=1002366	http://editions-rnti.fr/render_pdf.php?p=1002366
Revue des Nouvelles Technologies de l'Information	EGC	2018	Contribution à l'étude de la distributivité d'un treillis de concepts	Nous nous intéressons aux treillis distributifs dans le cadre de l'analyse formelle de concepts (FCA). La motivation primitive vient de la phylogénie et des graphes médians pour représenter les dérivations biologiques et les arbres parcimonieux. La FCA propose des algorithmes efficaces de construction de treillis de concepts. Cependant, un treillis de concepts n'est pas en correspondance avec un graphe médian sauf s'il est distributif, d'où l'idée d'étudier la transformation d'un treillis de concepts en un treillis distributif. Pour ce faire, nous nous appuyons sur le théorème de représentation de Birkhoff qui nous permet de systématiser la transformation d'un contexte quelconque en un contexte de treillis de concepts distributif. Ainsi, nous pouvons bénéficier de l'algorithmique de FCA pour construire mais aussi visualiser les treillis de concepts distributifs, et enfin étudier les graphes médians associés.	Alain Gély, Miguel Couceiro, Yassine Namir, Amedeo Napoli	http://editions-rnti.fr/render_pdf.php?p1&p=1002373	http://editions-rnti.fr/render_pdf.php?p=1002373
Revue des Nouvelles Technologies de l'Information	EGC	2018	Découverte de motifs graduels partiellement ordonnés : application aux données d'expériences scientifiques	Les données séquentielles sont aujourd'hui omniprésentes etconcernent divers domaines d'application. La fouille de données de séquencespermet d'extraire des informations et des connaissances pouvant être à forte valeurajoutée. Cependant, lorsque les données de séquences sont riches en donnéesnumériques, des méthodes de fouille de données plus fines sont nécessairespour extraire des connaissances plus expressives représentant la variabilité desvaleurs numériques ainsi que leur éventuelle interdépendance. Dans cet article,nous présentons une nouvelle méthode de découverte de séquences graduellesfréquentes représentées par des graphes à partir d'une source de données de séquencesen RDF (Resource Description Framework 1). Ces dernières sont transforméesen graphes graduels partiellement ordonnés, gpo. Nous proposons unalgorithme permettant de découvrir les sous-graphes gpo fréquents. Une expérimentationsur deux jeux de données réelles ont montré la faisabilité et la pertinencede notre approche.	Simon Ser, Fatiha Saïs, Maguelonne Teisseire	http://editions-rnti.fr/render_pdf.php?p1&p=1002382	http://editions-rnti.fr/render_pdf.php?p=1002382
Revue des Nouvelles Technologies de l'Information	EGC	2018	Définir les catégories de DBpédia avec des règles d'associations et des redescriptions	DBpédia, qui encode les connaissances de Wikipédia, est devenue unebase de référence pour le web des données. Les ressources peuvent y être répertoriéespar des catégories définies manuellement, dont la sémantique n'est pasdirectement accessible par des machines. Dans cet article, nous proposons deremédier à cette lacune au moyen de méthodes de fouille de données, à savoirla recherche de règles d'associations et de motifs apparentés. Nous présentonsune étude comparative de ces variantes sur une partie de DBpédia et discutonsle potentiel des différentes approches.	Justine Reynaud, Esther Galbrun, Mehwish Alam, Yannick Toussaint, Amedeo Napoli	http://editions-rnti.fr/render_pdf.php?p1&p=1002398	http://editions-rnti.fr/render_pdf.php?p=1002398
Revue des Nouvelles Technologies de l'Information	EGC	2018	Détection de Singularités en temps-réel par combinaison d'apprentissage automatique et web sémantique basés sur Spark		Badre Belabbess, Musab Bairat, Jérémy Lhez, Olivier Curé	http://editions-rnti.fr/render_pdf.php?p1&p=1002408	http://editions-rnti.fr/render_pdf.php?p=1002408
Revue des Nouvelles Technologies de l'Information	EGC	2018	Echantillonnage de motifs séquentiels sous contrainte sur la norme	L'échantillonnage de motifs est une méthode non-exhaustive pour découvrir des motifs pertinents qui assure une bonne interactivité tout en offrant des garanties statistiques fortes grâce à sa nature aléatoire. Curieusement, une telle approche explorée pour les motifs ensemblistes et les sous-graphes ne l'a pas encore été pour les données séquentielles. Dans cet article, nous proposons la première méthode d'échantillonnage de motifs séquentiels. Outre le passage aux séquences, l'originalité de notre approche est d'introduire une contrainte sur la norme pour maîtriser la longueur des motifs tirés et éviter l'écueil de la « longue traîne ». Nous démontrons que notre méthode fondée sur une procédure aléatoire en deux étapes effectue un tirage exact. Malgré le recours à un échantillonnage avec rejet, les expérimentations montrent qu'elle reste performante.	Lamine Diop, Cheikh Talibouya Diop, Arnaud Giacometti, Dominique Li, Arnaud Soulet	http://editions-rnti.fr/render_pdf.php?p1&p=1002367	http://editions-rnti.fr/render_pdf.php?p=1002367
Revue des Nouvelles Technologies de l'Information	EGC	2018	eDOI : exploration itérative de grands graphes multi-couches basée sur une mesure de l'intérêt de l'utilisateur		Antoine Laumond, Norbert Feron, Guy Melançon, Bruno Pinaud	http://editions-rnti.fr/render_pdf.php?p1&p=1002410	http://editions-rnti.fr/render_pdf.php?p=1002410
Revue des Nouvelles Technologies de l'Information	EGC	2018	Elaboration et utilisation d'une base de connaissances d'un domaine technique.	Ce poster rend compte d'une entreprise d'élaboration d'un système de représentation des connaissances pour le domaine géotechnique.	Nicolas Faure, René-Michel Faure	http://editions-rnti.fr/render_pdf.php?p1&p=1002404	http://editions-rnti.fr/render_pdf.php?p=1002404
Revue des Nouvelles Technologies de l'Information	EGC	2018	Élimination des liens inter-langues erronés dans Wikipédia	Un lien inter-langue dans Wikipédia est un lien qui mène d'un articleappartenant à une édition linguistique à un autre article décrivant le mêmeconcept dans une autre langue. Ces liens sont ajoutés manuellement par les utilisateursdeWikipédia et ainsi ils sont susceptibles d'être erronés. Dans ce papier,nous proposons une approche pour l'élimination automatique des liens interlangues.Le principe de base est que la présence d'un lien erroné est révélée parl'existence d'un chemin de liens inter-langues reliant deux articles appartenant àune même édition linguistique. Notre approche élimine des liens inter-langues,à partir de ceux qui ont un faible score de correction, jusqu'à ce qu'il n'y aitplus de chemins entre deux articles d'une même édition linguistique. Les résultatsde notre évaluation sur un sous-graphe deWikipédia consistant en 8 languesmontre que l'approche est prometteuse.	Nacéra Bennacer Seghouani, Francesca Bugiotti, Jorge Galicia, Mariana Patricio, Gianluca Quercini	http://editions-rnti.fr/render_pdf.php?p1&p=1002417	http://editions-rnti.fr/render_pdf.php?p=1002417
Revue des Nouvelles Technologies de l'Information	EGC	2018	Et si les réseaux sociaux pouvaient nous aider dans nos choix de carrière?	Dans cet article, nous présentons une méthode d'analyse de corpusafin de générer deux interfaces originales de visualisation dans le domaine del'e-recrutement. Notre approche s'appuie sur des millions de profils issus deplusieurs réseaux sociaux et sur des milliers d'offres d'emploi collectées surInternet. Nous décrivons dans ces travaux les étapes nécessaires pour leur réalisation.La première visualisation est une carte dynamique indiquant les métiersqui recrutent, dans quel domaine, dans quelle région tandis que la seconde meten avant les parcours professionnels et permet d'observer les perspectives ainsique les antécédents à plus ou moins long terme pour chaque métier considéré.	Rémy Kessler, Guy Lapalme, Fabrizio Gotti, Abdessamad Outerqiss, Philippe Langlais	http://editions-rnti.fr/render_pdf.php?p1&p=1002391	http://editions-rnti.fr/render_pdf.php?p=1002391
Revue des Nouvelles Technologies de l'Information	EGC	2018	Étiquetage thématique automatisé de corpus par représentation sémantique	Dans les corpus de textes scientifiques, certains articles issus de communautésde chercheurs différentes peuvent ne pas être décrits par les mêmesmots-clés alors qu'ils partagent la même thématique. Ce phénomène cause desproblèmes dans la recherche d'information, ces articles étant mal indexés, etlimite les échanges potentiellement fructueux entre disciplines scientifiques.Notre modèle permet d'attribuer automatiquement une étiquette thématique auxarticles au moyen d'un apprentissage des représentations sémantiques d'articlesdu corpus déjà étiquetés. Passant bien à l'échelle, cette méthode a pu être testéesur une bibliothèque numérique d'articles scientifiques comportant des millionsde documents. Nous utilisons un réseau sémantique de synonymes pour extrairedavantage d'articles sémantiquement similaires et nous les fusionnons avec ceuxobtenus par un modèle de classement thématique. Cette méthode combinée présentede meilleurs taux de rappel que les versions utilisant soit le réseau sémantiqueseul, soit la seule représentation sémantique des textes.	Lucie Martinet, Hussein T. Al-Natsheh, Fabien Rico, Fabrice Muhlenbach, Djamel A. Zighed	http://editions-rnti.fr/render_pdf.php?p1&p=1002396	http://editions-rnti.fr/render_pdf.php?p=1002396
Revue des Nouvelles Technologies de l'Information	EGC	2018	Évaluation comparative d'algorithmes de centralité pour la détection d'influenceurs		Kévin Deturck, Damien Nouvel, Frédérique Segond	http://editions-rnti.fr/render_pdf.php?p1&p=1002405	http://editions-rnti.fr/render_pdf.php?p=1002405
Revue des Nouvelles Technologies de l'Information	EGC	2018	Exploration et analyses multi-objectifs de séries temporelles de données météorologiques	Cet article présente les investigations menées sur les donnéesmesurées par des capteurs positionnés dans cinq villes de l'île de laRéunion. Des analyses exploratoires préalables permettent de comparer lescaractéristiques statistiques des villes considérées relativement aux différentesvariables météorologiques mesurées (flux solaires diffus et global, pressionatmosphérique, humidité, température, force et direction du vent). Nousappliquons diverses transformations sur les données avant d'analyser les sériesunivariées ou multivariées agrégées au pas de l'heure ou de la journée afin deconstruire des modèles de prédiction. Une approche classique de clusteringde séries temporelles est testée. Deux algorithmes de biclustering appliquéssuccessivement ont permis de grouper les journées d'observations partageantdes paramètres météorologiques horaires. Une caractérisation des biclusters, unevisualisation calendaire de leur succession ainsi qu'une recherche de séquencesfréquentes permettent d'exploiter les résultats et de faciliter leur interprétation.	Yelen Per, Kevin Dalleau, Malika Smail-Tabbone	http://editions-rnti.fr/render_pdf.php?p1&p=1002421	http://editions-rnti.fr/render_pdf.php?p=1002421
Revue des Nouvelles Technologies de l'Information	EGC	2018	Extraction de chaînes cohérentes en vue de reconstuire la Trajectoire de l'information	Sur Internet, l'information se propage en particulier au travers des documentstextuels. Cette propagation soulève de nombreux défis : identifier uneinformation, suivre son évolution dans le temps, comprendre les mécanismes quirégissent sa propagation, etc. Étant donné un document parmi un grand corpusdans lequel de nombreuses informations circulent, pouvons-nous retrouver leschemins empruntés par l'information pour arriver à ce document ? Nous proposonsde définir la notion de trajectoire comme l'ensemble des chemins le longdesquels de l'information s'est propagée et nous proposons une méthode pourl'estimer. Nous avons mis en oeuvre une évaluation humaine pour juger de laqualité des chemins calculés. Nous montrons que les évaluations concordent laplupart du temps et que notre algorithme est efficace pour retrouver les bonschemins.	Charles Huyghues-Despointes, Leila Khouas, Julien Velcin, Sabine Loudcher	http://editions-rnti.fr/render_pdf.php?p1&p=1002395	http://editions-rnti.fr/render_pdf.php?p=1002395
Revue des Nouvelles Technologies de l'Information	EGC	2018	Extraction de connaissances sur les défaillances de compteurs d'essieux	Cet article propose une méthode d'analyse pour des enregistrementsopérationnels d'un ensemble de compteurs d'essieux, qui constituent un élémentcentral à l'infrastructure ferroviaire. Notre objectif est de fournir une façon efficaced'extraire automatiquement des éléments de connaissance concernant lesdéfaillances de ces systèmes.Puisque les données fournies ne contiennent pas de vérité de terrain sur lescauses de défaillances, les informations et leurs causes doivent être extraites desrelations sous-tendant les événements enregistrés. Après une phase de prétraitement,les événements sont groupés en fonction des relations qui ont été misesen lumière entre eux. Ces regroupements peuvent ensuite être utilisés pour créerdes classes d'événements en utilisant un système de classification adapté.Au delà de cette application spécifique, cette approche est une façon nouvelled'aborder les problèmes d'analyse de fiabilité.	Iwo Doboszewski, Simon Fossier, Christophe Marsala	http://editions-rnti.fr/render_pdf.php?p1&p=1002394	http://editions-rnti.fr/render_pdf.php?p=1002394
Revue des Nouvelles Technologies de l'Information	EGC	2018	Fouille de Motifs Graduels Fermés Fréquents Sous Contrainte de la Temporalité		Jerry Lonlac, Benjamin Négrevergne, Yannick Miras, Aude Beauger, Engelbert Mephu Nguifo	http://editions-rnti.fr/render_pdf.php?p1&p=1002412	http://editions-rnti.fr/render_pdf.php?p=1002412
Revue des Nouvelles Technologies de l'Information	EGC	2018	Fouille de motifs temporels négatifs	Dans cet article nous étudions le problème de l'extraction de motifsfréquents contenant des événements positifs, des événements négatifs spécifiantl'absence d'événement ainsi que des informations temporelles sur le délai entreces événements. Nous définissons la sémantique de tels motifs et proposons laméthode NTGSP basée sur des approches de l'état de l'art. Les performancesde la méthode sont évaluées sur des données commerciales fournies par EDF(Électricité de France).	Katerina Tsesmeli, Manel Boumghar, Thomas Guyet, Rene Quiniou, Laurent Pierre	http://editions-rnti.fr/render_pdf.php?p1&p=1002386	http://editions-rnti.fr/render_pdf.php?p=1002386
Revue des Nouvelles Technologies de l'Information	EGC	2018	Interrogation de données structurellement hétérogènes dans les bases de données orientées documents	Les systèmes orientés documents permettent de stocker tout docu-ment, quel que soit leur schéma. Cette flexibilité génère une potentielle hété-rogénéité des documents qui complexifie leur interrogation car une même entitépeut être décrite selon des schémas différents. Cet article présente une approched’interrogation transparente des systèmes orientés documents. Pour cela, nousproposons de générer un dictionnaire de façon automatique lors de l’insertiondes documents, et qui associe à chaque attribut tous les chemins permettant d’yaccéder. Ce dictionnaire permet de réécrire la requête utilisateur à partir de dis-jonctions de chemins afin de retrouver tous les documents quelles que soientleurs structures. Nos expérimentations montrent des coûts d’exécution de la re-quête réécrite largement acceptables comparés au coût d’une requête sur sché-mas homogènes.	Hamdi Ben Hamadou,  Faiza Ghozzi, André Péninou, Olivier Teste	http://editions-rnti.fr/render_pdf.php?p1&p=1002430	http://editions-rnti.fr/render_pdf.php?p=1002430
