,series,booktitle,year,title,abstract,authors,pdf1page,pdfarticle,titleLemma,abstractLemma
10,Revue des Nouvelles Technologies de l'Information,EGC,2018,Big Data for understanding human dynamics: the power of networks,,Fosca Giannotti,http://editions-rnti.fr/render_pdf.php?p1&p=1002363,http://editions-rnti.fr/render_pdf.php?p=1002363,Big Data for understanding human dynamics: the power of networks,
11,Revue des Nouvelles Technologies de l'Information,EGC,2018,Cartes Auto-Organisatrices Incrémentales appliquées au Clustering Collaboratif,"Le Clustering Collaboratif (CC) vise à faire ressortir les structurescommunes présentes dans plusieurs vues indépendantes en se basant sur unepremière étape de clustering locale, effectuée dans notre cas à l'aide de CartesAuto-Organisatrices (SOM pour Self Organizing Maps en anglais). Pour faireface à la quantité toujours croissante de données disponibles, l'utilisation de méthodesde clustering incrémentales est devenue nécessaire. Ce papier présente unalgorithme de SOM incrémentales compatibles avec les contraintes du CC. Lesexpérimentations conduites sur plusieurs jeux de données démontrent la validitéde cette méthode et présentent l'influence de la taille du batch utilisé lors del'apprentissage.","Denis Maurel, Jérémie Sublime, Sylvain Lefebvre",http://editions-rnti.fr/render_pdf.php?p1&p=1002418,http://editions-rnti.fr/render_pdf.php?p=1002418,carte auto-organisatrices incrémentales appliquer clustering collaboratif,"le clustering collaboratif ( cc ) viser ressortir structurescommunes présent plusieurs vue indépendant baser unepremière étape clustering locale , effectuer cas l'aide cartesauto-organisatrices ( som self organizing maps anglais ) . pour faireface quantité toujours croissante donnée disponible , l'utilisation méthodesde clustering incrémentales devenir nécessaire . ce papier présent unalgorithme som incrémentales compatibles contrainte cc . lesexpérimentations conduire plusieurs jeu donnée démontrer validitéde méthode présenter l'influence taille batch utiliser lors del'apprentissage ."
12,Revue des Nouvelles Technologies de l'Information,EGC,2018,Catégorisation d'articles scientifiques basée sur les relations sémantiques des mots-clés,,"Bastien Latard, Jonathan Weber, Germain Forestier, Michel Hassenforder",http://editions-rnti.fr/render_pdf.php?p1&p=1002406,http://editions-rnti.fr/render_pdf.php?p=1002406,catégorisation d'articles scientifique baser relation sémantique mot-clé,
13,Revue des Nouvelles Technologies de l'Information,EGC,2018,Classification de Données Complexes par Globalisation de Mesures de Similarité via les Moyennes Quasi-Arithmétiques,"La plupart des méthodes de classification sont conçues pour des types particuliers de données: données numériques, textuelles, catégoriques, fonctionnelles, probabilistes ou encore de type graphes. Cependant, les données générées dans notre quotidien sont en général composées de données de types mixtes. Par exemple, si nous considérons la prévention cardiaque dans le domaine de la santé, les applications vont combiner des données issues de capteurs avec d'autres données telles que l'âge, le niveau d'effort, la fréquence cardiaque maximale, des histogrammes de fréquences cardiaques moyennes lors de précédents efforts, etc. Ceci nous amène à la problématique de construire des classes en tenant compte de ces différentes données, et de définir une mesure de similarité à partir des similarités de paires d'objets sur les différents types de variables. Dans cet article nous proposons une méthode de classification basée sur la fusion des matrices de similarité à l'aide des moyennes quasi-arithmétiques qui permet de choisir les différentes “dimensions” des données à considérer, et ce quel que soit le type de données, pour autant qu'une mesure, de similarité ou de dissimilarité existe pour chacun des types de données, ce qui est très souvent le cas.","Étienne-Cuvelier, Marie-Aude-Aufaure",http://editions-rnti.fr/render_pdf.php?p1&p=1002368,http://editions-rnti.fr/render_pdf.php?p=1002368,classification donnée complexe globalisation mesure similarité via moyenne quasi-arithmétiques,"la méthode classification concevoir type particulier donnée : donnée numériques , textuelles , catégoriques , fonctionnelles , probabiliste type graphe . cependant , donnée générer quotidien général composer donnée type mixtes . par exemple , considérer prévention cardiaque domaine santé , application combiner donnée issir capteur d'autres donnée telles l'âge , niveau d'effort , fréquence cardiaque maximale , histogramme fréquence cardiaque moyenne lors précédent effort , etc . ceci amener problématique construire classe tenant compter différentes donnée , définir mesure similarité partir similarités paire d'objets différent type variable . dans article proposer méthode classification baser fusion matrice similarité l'aide moyenne quasi-arithmétiques permettre choisir différentes “ dimension ” donnée considérer , type donnée , autant qu'une mesure , similarité dissimilarité exister chacun type donnée , souvent cas ."
14,Revue des Nouvelles Technologies de l'Information,EGC,2018,Community structure in complex networks,,Santo Fortunato,http://editions-rnti.fr/render_pdf.php?p1&p=1002362,http://editions-rnti.fr/render_pdf.php?p=1002362,Community structure in complex networks,
15,Revue des Nouvelles Technologies de l'Information,EGC,2018,Comparaison de mesures de centralité basées sur les plus courts chemins dans les réseaux dynamiques,"Définir l'importance des noeuds dans les réseaux statiques est unequestion de recherche très étudiée depuis de nombreuses années. Dernièrement,des adaptations des métriques classiques ont été proposées pour les réseaux dynamiques.Ces méthodes reposent sur des approches très différentes dans leurfaçon d'évaluer l'importance des noeuds à un instant donné. Il est donc nécessairede pouvoir les évaluer et les comparer. Dans cet article, nous comparonstrois approches existes pour mieux comprendre ce qui les différencie. Nous montronsque la nature des jeux de données influe grandement sur le comportementdes méthodes, et que pour certains d'entre eux, la notion d'importance n'est pastoujours pertinente.","Marwan Ghanem, Clémence Magnien, Fabien Tarissan",http://editions-rnti.fr/render_pdf.php?p1&p=1002416,http://editions-rnti.fr/render_pdf.php?p=1002416,comparaison mesure centralité baser plus court chemin réseau dynamique,"définir l'importance noeud réseau statique unequestion recherche étudier nombreuses année . dernièrement , adaptation métrique classique proposer réseau dynamiques.ces méthode reposer approche différentes leurfaçon d'évaluer l'importance noeud instant donner . il nécessairede pouvoir évaluer comparer . dans article , comparonstrois approche existes mieux comprendre différencie . nous montronsque nature jeu donnée influer grandement comportementdes méthode , certain d'entre , notion d'importance n'est pastoujours pertinente ."
16,Revue des Nouvelles Technologies de l'Information,EGC,2018,Complémentarités de représentations vectorielles pour la similarité sémantique,"La tâche de similarité sémantique textuelle consiste à exprimer automatiquementun nombre reflétant la similarité sémantique de deux fragmentsde texte. Chaque année depuis 2012, les campagnes de SemEval déroulent cettetâche de similarité sémantique textuelle. Cet article présente une méthode associantdifférentes représentations vectorielles de phrases dans l'objectif d'améliorerles résultats obtenus en similarité sémantique. Notre hypothèse est que différentesreprésentations permettraient de représenter différents aspects sémantiques,et par extension, d'améliorer les similarités calculées, la principale difficultéétant de sélectionner les représentations les plus complémentaires pourcette tâche. Notre système se base sur le système vainqueur de la campagne de2015 ainsi que sur notre méthode de sélection par complémentarité. Les résultatsobtenus viennent confirmer l'intérêt de cette méthode lorsqu'ils sont comparésaux résultats de la campagne de 2016.","Julien Hay, Tim Van de Cruys, Philippe Muller, Bich-Liên Doan, Fabrice Popineau, Lyes Benamsili",http://editions-rnti.fr/render_pdf.php?p1&p=1002378,http://editions-rnti.fr/render_pdf.php?p=1002378,complémentarité représentation vectorielles similarité sémantique,"la tâche similarité sémantique textuelle consister exprimer automatiquementun nombre refléter similarité sémantique fragmentsde texte . chaque année 2012 , campagne semeval dérouler cettetâche similarité sémantique textuelle . cet article présent méthode associantdifférentes représentation vectorielles phrase l'objectif d'améliorerles résultat obtenir similarité sémantique . notre hypothèse différentesreprésentations permettre représenter différent aspect sémantique , extension , d'améliorer similarité calculer , principale difficultéétant sélectionner représentation plus complémentaire pourcette tâche . notre système baser système vainqueur campagne de2015 ainsi méthode sélection complémentarité . les résultatsobtenus venir confirmer l'intérêt méthode lorsqu'ils comparésaux résultat campagne 2016 ."
17,Revue des Nouvelles Technologies de l'Information,EGC,2018,Contextualisation de Singularités en Temps-Réel par Extraction de Connaissances du Web des Données,"L'émergence de l'IoT et du traitement en temps-réel oblige les entreprises à considérer la détection d'anomalies comme un élément clé de leur activité. Afin de garantir une haute précision dans le processus de détection, des métadonnées fournissant un contexte spatio-temporel sur les mesures des capteurs sont nécessaires. Dans cet article, nous présentons un système générique qui aide à capturer, analyser, qualifier et stocker les informations contextuelles d'un domaine d'application donné. L'approche proposée est basée sur des méthodes sémantiques qui exploitent des ontologies pour évaluer la pertinence de l'information contextuelle. Après une description des composants principaux de l'architecture, la performance et la pertinence du système sont démontrées par une évaluation sur des ensembles de données du monde réel.","Badre Belabbess, Jérémy Lhez, Musab Bairat, Olivier Curé",http://editions-rnti.fr/render_pdf.php?p1&p=1002369,http://editions-rnti.fr/render_pdf.php?p=1002369,contextualisation singularités temps-réel extraction connaissance web donnée,"l'émergence l'iot traitement temps-réel obliger entreprise considérer détection d'anomalies élément clé activité . afin garantir haute précision processus détection , métadonnées fournir contexte spatio-temporel mesure capteur nécessaire . dans article , présenter système générique aider capturer , analyser , qualifier stocker information contextuelles d'un domaine d'application donner . l'approche proposer baser méthode sémantique exploiter ontologies évaluer pertinence l'information contextuelle . après description composant principal l'architecture , performance pertinence système démontrer évaluation ensemble donnée monde réel ."
18,Revue des Nouvelles Technologies de l'Information,EGC,2018,Contraintes prescriptives compatibles avec OWL2-ER pour évaluer la complétude d'ontologies,"L'article définit les contraintes prescriptives comme des règles permettant aux moteurs d'inférence de vérifier que certains objets formels sont réellement utilisés – pas seulement inférés – ou non, dans certaines conditions. Il montre que ces contraintes nécessitent de ne pas exploiter de mécanisme d'héritage (ou autres mécanismes ajoutant des relations à des objets) durant les tests des conclusions des règles. Il donne une méthode générale pour effectuer cela et des commandes SPARQL pour implémenter cette méthode lorsque les règles sont représentées via des relations sous-classe-de entre conditions et conclusions. L'article illustre ces commandes avec la vérification de patrons de conception d'ontologies. Plus généralement, l'approche peut être utilisée pour vérifier la complétude d'une ontologie, ou représenter dans une ontologie (plutôt que par des requêtes ou des procédures ad hoc) des contraintes permettant de calculer un degré de complétude d'ontologie. L'approche peut ainsi aider l'élicitation, la modélisation ou la validation de connaissances.","Philippe Martin, Jun Jo",http://editions-rnti.fr/render_pdf.php?p1&p=1002366,http://editions-rnti.fr/render_pdf.php?p=1002366,contrainte prescriptives compatibles owl2-er évaluer complétude d'ontologies,"l'article définir contrainte prescriptives règle permettre moteur d'inférence vérifier certain objet formels réellement utiliser – inférés – non , certaines condition . il montrer contrainte nécessiter exploiter mécanisme d'héritage ( autres mécanisme ajouter relation objet ) durant test conclusion règle . il donner méthode générale effectuer commande sparql implémenter méthode lorsque règle représenter via relation sous-classe-de entre condition conclusion . l'article illustrer commande vérification patron conception d'ontologies . plus généralement , l'approche utiliser vérifier complétude d'une ontologie , représenter ontologie ( plutôt requête procédure ad hoc ) contrainte permettre calculer degré complétude d'ontologie . l'approche ainsi aider l'élicitation , modélisation validation connaissance ."
19,Revue des Nouvelles Technologies de l'Information,EGC,2018,Contribution à l'étude de la distributivité d'un treillis de concepts,"Nous nous intéressons aux treillis distributifs dans le cadre de l'analyse formelle de concepts (FCA). La motivation primitive vient de la phylogénie et des graphes médians pour représenter les dérivations biologiques et les arbres parcimonieux. La FCA propose des algorithmes efficaces de construction de treillis de concepts. Cependant, un treillis de concepts n'est pas en correspondance avec un graphe médian sauf s'il est distributif, d'où l'idée d'étudier la transformation d'un treillis de concepts en un treillis distributif. Pour ce faire, nous nous appuyons sur le théorème de représentation de Birkhoff qui nous permet de systématiser la transformation d'un contexte quelconque en un contexte de treillis de concepts distributif. Ainsi, nous pouvons bénéficier de l'algorithmique de FCA pour construire mais aussi visualiser les treillis de concepts distributifs, et enfin étudier les graphes médians associés.","Alain Gély, Miguel Couceiro, Yassine Namir, Amedeo Napoli",http://editions-rnti.fr/render_pdf.php?p1&p=1002373,http://editions-rnti.fr/render_pdf.php?p=1002373,contribution l'étude distributivité d'un treillis concept,"nous intéresser treillis distributifs cadre l'analyse formelle concept ( fca ) . la motivation primitif venir phylogénie graphe médians représenter dérivation biologiques arbre parcimonieux . la fca proposer algorithme efficaces construction treillis concept . cependant , treillis concept n'est correspondance graphe médian sauf s'il distributif , d'où l'idée d'étudier transformation d'un treillis concept treillis distributif . pour , appuyer théorème représentation birkhoff permettre systématiser transformation d'un contexte quelconque contexte treillis concept distributif . ainsi , pouvoir bénéficier l'algorithmique fca construire visualiser treillis concept distributifs , enfin étudier graphe médians associé ."
20,Revue des Nouvelles Technologies de l'Information,EGC,2018,Découverte de motifs graduels partiellement ordonnés : application aux données d'expériences scientifiques,"Les données séquentielles sont aujourd'hui omniprésentes etconcernent divers domaines d'application. La fouille de données de séquencespermet d'extraire des informations et des connaissances pouvant être à forte valeurajoutée. Cependant, lorsque les données de séquences sont riches en donnéesnumériques, des méthodes de fouille de données plus fines sont nécessairespour extraire des connaissances plus expressives représentant la variabilité desvaleurs numériques ainsi que leur éventuelle interdépendance. Dans cet article,nous présentons une nouvelle méthode de découverte de séquences graduellesfréquentes représentées par des graphes à partir d'une source de données de séquencesen RDF (Resource Description Framework 1). Ces dernières sont transforméesen graphes graduels partiellement ordonnés, gpo. Nous proposons unalgorithme permettant de découvrir les sous-graphes gpo fréquents. Une expérimentationsur deux jeux de données réelles ont montré la faisabilité et la pertinencede notre approche.","Simon Ser, Fatiha Saïs, Maguelonne Teisseire",http://editions-rnti.fr/render_pdf.php?p1&p=1002382,http://editions-rnti.fr/render_pdf.php?p=1002382,découverte motif graduel partiellement ordonner : application donnée d'expériences scientifique,"les donnée séquentielles aujourd'hui omniprésentes etconcernent divers domaine d'application . la fouille donnée séquencespermet d'extraire information connaissance pouvoir fort valeurajoutée . cependant , lorsque donnée séquence riche donnéesnumériques , méthode fouille donnée plus fine nécessairespour extraire connaissance plus expressives représenter variabilité desvaleurs numériques ainsi éventuelle interdépendance . dans article , présenter nouveau méthode découverte séquence graduellesfréquentes représenter graphe partir d'une source donnée séquencesen rdf ( resource description framework 1 ) . ces dernier transforméesen graphe graduel partiellement ordonner , gpo . nous proposer unalgorithme permettre découvrir sous-graphes gpo fréquents . une expérimentationsur jeu donnée réelles montrer faisabilité pertinencede approche ."
